iter	Passed	Remaining
709	29339	11983
710	29382	11943
711	29423	11901
712	29463	11859
713	29505	11818
714	29549	11778
715	29591	11737
716	29631	11695
717	29671	11653
718	29712	11612
719	29754	11571
720	29795	11529
721	29844	11491
722	29884	11449
723	29928	11409
724	29971	11368
725	30010	11326
726	30062	11288
727	30113	11251
728	30157	11210
729	30197	11168
730	30240	11128
731	30280	11086
732	30320	11044
733	30362	11003
734	30403	10961
735	30445	10920
736	30497	10883
737	30537	10841
738	30579	10800
739	30620	10758
740	30660	10716
741	30703	10675
742	30743	10634
743	30783	10592
744	30823	10550
745	30863	10508
746	30907	10467
747	30951	10427
748	30996	10387
749	31037	10345
750	31075	10303
751	31118	10262
752	31160	10221
753	31201	10179
754	31241	10138
755	31282	10096
756	31323	10055
757	31365	10013
758	31407	9972
759	31447	9930
760	31488	9889
761	31528	9847
762	31570	9806
763	31609	9764
764	31650	9722
765	31691	9681
766	31729	9638
767	31770	9597
768	31810	9555
769	31852	9514
770	31910	9477
771	31958	9438
772	32001	9397
773	32042	9355
774	32082	9314
775	32128	9274
776	32168	9232
777	32208	9190
778	32250	9149
779	32290	9107
780	32360	9074
781	32404	9033
782	32455	8994
783	32496	8953
784	32541	8912
785	32586	8872
786	32628	8830
787	32670	8789
788	32710	8747
789	32756	8707
790	32797	8665
791	32838	8624
792	32887	8584
793	32939	8545
794	32980	8504
795	33020	8462
796	33061	8421
797	33107	8380
798	33151	8339
799	33216	8304
800	33255	8261
801	33296	8220
802	33337	8178
803	33381	8137
804	33421	8095
805	33462	8054
806	33511	8014
807	33551	7972
808	33605	7934
809	33645	7892
810	33686	7850
811	33753	7814
812	33795	7773
813	33836	7731
814	33877	7690
815	33923	7649
816	33965	7607
817	34003	7565
818	34045	7524
819	34086	7482
820	34131	7441
821	34176	7400
822	34233	7362
823	34279	7321
824	34316	7279
825	34356	7237
826	34398	7195
827	34438	7153
828	34479	7112
829	34517	7069
830	34558	7028
831	34598	6986
832	34638	6944
833	34684	6903
834	34749	6866
835	34789	6824
836	34829	6782
837	34869	6740
838	34914	6700
839	34954	6658
840	34993	6615
841	35034	6574
842	35073	6532
843	35117	6490
844	35165	6450
845	35204	6408
846	35246	6366
847	35286	6324
848	35327	6283
849	35369	6241
850	35409	6199
851	35449	6157
852	35491	6116
853	35531	6074
854	35570	6032
855	35611	5990
856	35650	5948
857	35690	5906
858	35731	5865
859	35769	5823
860	35809	5781
861	35865	5741
862	35919	5702
863	35960	5660
864	36000	5618
865	36040	5576
866	36080	5534
867	36134	5495
868	36183	5454
869	36223	5412
870	36262	5370
871	36301	5328
872	36345	5287
873	36384	5245
874	36433	5204
875	36489	5165
876	36527	5123
877	36567	5081
878	36617	5040
