iter	Passed	Remaining
807	30179	44522
808	30214	44481
809	30252	44444
810	30287	44404
811	30323	44364
812	30359	44325
813	30393	44283
814	30427	44241
815	30462	44201
816	30497	44159
817	30532	44119
818	30566	44077
819	30601	44035
820	30649	44013
821	30697	43992
822	30733	43953
823	30766	43909
824	30803	43871
825	30838	43831
826	30873	43789
827	30906	43746
828	30941	43706
829	30974	43663
830	31007	43619
831	31043	43579
832	31077	43538
833	31112	43498
834	31146	43456
835	31183	43417
836	31218	43377
837	31251	43334
838	31283	43289
839	31318	43249
840	31353	43209
841	31388	43168
842	31423	43128
843	31459	43088
844	31493	43047
845	31528	43007
846	31563	42966
847	31595	42921
848	31628	42879
849	31663	42839
850	31697	42797
851	31731	42756
852	31767	42716
853	31814	42692
854	31849	42652
855	31885	42612
856	31921	42574
857	31956	42534
858	31991	42494
859	32026	42453
860	32060	42412
861	32095	42371
862	32129	42330
863	32163	42289
864	32198	42249
865	32232	42208
866	32266	42166
867	32299	42123
868	32334	42083
869	32367	42041
870	32402	41999
871	32436	41959
872	32471	41918
873	32507	41880
874	32542	41840
875	32593	41821
876	32627	41780
877	32661	41738
878	32706	41710
879	32741	41671
880	32776	41630
881	32811	41590
882	32845	41549
883	32881	41510
884	32917	41472
885	32961	41443
886	32996	41403
887	33030	41362
888	33065	41322
889	33100	41282
890	33147	41258
891	33183	41218
892	33217	41178
893	33252	41138
894	33288	41098
895	33322	41058
896	33363	41025
897	33403	40991
898	33438	40951
899	33472	40911
900	33506	40870
901	33541	40830
902	33579	40793
903	33615	40754
904	33663	40731
905	33699	40692
906	33735	40653
907	33770	40613
908	33805	40574
909	33841	40535
910	33876	40495
911	33909	40453
912	33944	40413
913	33979	40373
914	34012	40331
915	34046	40291
916	34096	40268
917	34127	40224
918	34174	40198
919	34207	40156
920	34242	40117
921	34277	40077
922	34313	40038
923	34348	39998
924	34383	39958
925	34418	39919
926	34452	39878
927	34487	39838
928	34521	39797
929	34555	39756
930	34593	39721
931	34629	39682
932	34664	39643
933	34698	39602
934	34747	39578
935	34785	39542
936	34822	39505
937	34857	39465
938	34893	39426
939	34931	39390
940	34975	39361
941	35016	39328
942	35052	39289
943	35105	39270
944	35147	39238
945	35183	39200
946	35219	39161
947	35254	39121
948	35288	39081
949	35325	39044
950	35360	39004
951	35397	38967
952	35434	38929
953	35471	38891
954	35506	38852
955	35553	38826
956	35589	38787
957	35632	38756
958	35668	38718
959	35704	38679
960	35740	38640
961	35773	38600
962	35810	38561
963	35845	38522
964	35880	38483
965	35915	38443
966	35950	38403
967	35985	38364
968	36018	38323
969	36054	38284
970	36100	38256
971	36134	38216
972	36169	38176
973	36203	38135
974	36248	38106
975	36284	38069
976	36319	38029
977	36354	37989
978	36388	37949
979	36425	37911
980	36459	37871
981	36494	37832
982	36530	37793
983	36564	37753
984	36599	37714
985	36635	37675
986	36669	37635
987	36703	37595
988	36738	37556
989	36772	37515
990	36806	37475
991	36841	37435
992	36875	37395
993	36909	37354
994	36944	37315
995	36979	37276
996	37014	37237
997	37053	37201
998	37087	37161
999	37122	37122
1000	37156	37082
1001	37192	37044
1002	37227	37004
1003	37261	36964
1004	37296	36924
1005	37330	36884
1006	37364	36845
1007	37398	36804
1008	37435	36767
1009	37469	36727
1010	37503	36687
1011	37536	36646
1012	37584	36619
1013	37630	36591
1014	37665	36552
1015	37702	36515
1016	37745	36483
1017	37780	36444
1018	37822	36411
1019	37858	36373
1020	37893	36335
1021	37933	36300
1022	37967	36260
1023	38010	36228
1024	38044	36189
1025	38078	36148
1026	38114	36110
1027	38148	36070
1028	38182	36030
1029	38216	35990
1030	38251	35951
1031	38286	35912
1032	38319	35870
1033	38354	35831
1034	38389	35792
1035	38424	35754
1036	38460	35716
1037	38496	35677
1038	38530	35638
1039	38565	35598
1040	38599	35558
1041	38634	35519
1042	38668	35479
1043	38704	35441
1044	38739	35402
1045	38786	35374
1046	38820	35334
1047	38855	35295
1048	38890	35257
1049	38924	35217
1050	38974	35191
1051	39008	35152
1052	39041	35111
1053	39078	35074
1054	39113	35035
1055	39148	34996
1056	39191	34964
1057	39228	34927
1058	39263	34888
1059	39297	34848
1060	39335	34812
1061	39368	34772
1062	39402	34732
1063	39437	34692
1064	39471	34653
1065	39505	34613
1066	39538	34572
1067	39572	34533
1068	39607	34494
1069	39653	34465
1070	39688	34425
1071	39721	34385
1072	39755	34346
1073	39789	34306
1074	39824	34267
1075	39858	34228
1076	39906	34200
1077	39940	34160
1078	39975	34122
1079	40010	34082
1080	40045	34043
1081	40080	34005
1082	40114	33966
1083	40149	33927
1084	40202	33903
1085	40237	33864
1086	40281	33833
1087	40342	33816
1088	40378	33778
1089	40414	33740
1090	40449	33701
1091	40483	33662
1092	40520	33625
1093	40556	33586
1094	40592	33549
1095	40627	33510
1096	40663	33472
1097	40699	33434
1098	40733	33394
1099	40769	33356
1100	40804	33317
1101	40839	33279
1102	40874	33240
1103	40909	33202
1104	40944	33162
1105	40979	33124
1106	41028	33097
1107	41064	33059
1108	41099	33020
1109	41140	32986
1110	41176	32948
1111	41210	32908
1112	41244	32869
1113	41278	32830
1114	41314	32791
1115	41350	32754
1116	41385	32715
1117	41420	32676
1118	41456	32639
1119	41492	32601
1120	41527	32562
1121	41574	32533
1122	41609	32494
1123	41642	32454
1124	41690	32426
1125	41724	32386
1126	41761	32349
1127	41794	32309
1128	41828	32270
1129	41863	32231
1130	41899	32193
1131	41937	32157
1132	41974	32119
1133	42008	32080
1134	42043	32041
1135	42077	32002
1136	42113	31964
1137	42148	31926
1138	42182	31887
1139	42218	31849
1140	42252	31809
1141	42286	31770
1142	42320	31731
1143	42355	31692
1144	42398	31660
1145	42435	31622
1146	42470	31584
1147	42503	31544
1148	42552	31515
1149	42586	31476
1150	42621	31438
1151	42655	31398
1152	42691	31361
1153	42725	31322
1154	42759	31282
1155	42792	31242
1156	42825	31203
1157	42859	31163
1158	42893	31124
1159	42927	31085
1160	42960	31045
1161	42995	31006
1162	43029	30967
1163	43078	30939
1164	43112	30900
1165	43147	30862
1166	43183	30823
1167	43220	30787
1168	43290	30773
1169	43325	30735
1170	43362	30698
1171	43396	30658
1172	43433	30621
1173	43500	30605
1174	43537	30569
1175	43577	30533
1176	43612	30495
1177	43648	30457
1178	43687	30421
1179	43723	30383
1180	43762	30348
1181	43799	30311
1182	43837	30274
1183	43901	30256
1184	43937	30218
1185	43974	30181
1186	44009	30143
1187	44043	30103
1188	44078	30065
1189	44113	30026
1190	44148	29988
1191	44183	29949
1192	44222	29913
1193	44260	29877
1194	44296	29840
1195	44332	29802
1196	44385	29775
1197	44438	29749
1198	44477	29713
1199	44514	29676
1200	44555	29641
1201	44590	29603
1202	44625	29565
1203	44661	29526
1204	44698	29489
1205	44733	29451
1206	44768	29413
1207	44816	29383
1208	44852	29345
1209	44888	29307
1210	44925	29269
1211	44959	29231
1212	44994	29192
1213	45030	29154
1214	45066	29116
1215	45102	29078
1216	45137	29040
1217	45171	29002
1218	45219	28971
1219	45255	28933
1220	45297	28900
1221	45332	28861
1222	45367	28822
1223	45402	28784
1224	45436	28745
1225	45471	28706
1226	45506	28668
1227	45543	28631
1228	45580	28594
1229	45616	28556
1230	45654	28519
1231	45693	28484
1232	45729	28446
1233	45768	28410
1234	45805	28373
1235	45840	28335
1236	45875	28296
1237	45910	28258
1238	45945	28219
1239	45978	28180
1240	46015	28142
1241	46053	28106
1242	46090	28069
1243	46126	28031
1244	46161	27993
1245	46197	27955
1246	46232	27917
1247	46270	27881
1248	46305	27842
1249	46340	27804
1250	46375	27766
1251	46410	27727
1252	46445	27689
1253	46479	27650
1254	46513	27611
1255	46548	27573
1256	46583	27534
1257	46616	27495
1258	46650	27456
1259	46696	27425
1260	46731	27386
1261	46766	27348
1262	46800	27309
1263	46836	27271
1264	46870	27232
1265	46905	27194
1266	46939	27156
1267	46975	27118
1268	47010	27079
1269	47044	27041
1270	47093	27011
1271	47149	26985
1272	47197	26954
1273	47231	26915
1274	47268	26878
1275	47302	26839
1276	47338	26801
1277	47386	26770
1278	47422	26732
1279	47457	26694
1280	47494	26657
1281	47529	26619
1282	47564	26581
1283	47601	26544
1284	47640	26507
1285	47675	26469
1286	47707	26430
1287	47743	26392
1288	47777	26353
1289	47813	26316
1290	47847	26277
1291	47882	26238
1292	47914	26199
1293	47948	26160
1294	47984	26122
1295	48018	26084
1296	48053	26045
1297	48091	26009
1298	48127	25972
1299	48163	25934
1300	48198	25896
1301	48235	25858
1302	48270	25820
1303	48306	25783
1304	48341	25744
1305	48376	25707
1306	48411	25668
1307	48448	25631
1308	48482	25593
1309	48517	25554
1310	48553	25517
1311	48591	25480
1312	48626	25442
1313	48661	25404
1314	48698	25367
1315	48735	25330
1316	48770	25292
1317	48805	25254
1318	48839	25215
1319	48873	25177
1320	48908	25139
1321	48948	25103
1322	48995	25071
1323	49028	25032
1324	49064	24995
1325	49099	24957
1326	49133	24918
1327	49170	24881
1328	49204	24842
1329	49237	24803
1330	49272	24765
1331	49306	24727
1332	49341	24689
1333	49375	24650
1334	49410	24612
1335	49449	24576
1336	49485	24539
1337	49519	24500
1338	49555	24463
1339	49591	24425
1340	49624	24386
1341	49662	24350
1342	49697	24312
1343	49731	24273
1344	49766	24235
1345	49800	24197
1346	49834	24158
1347	49869	24120
1348	49907	24084
1349	49942	24046
1350	49977	24008
1351	50013	23971
1352	50047	23932
1353	50097	23901
1354	50133	23864
1355	50169	23826
1356	50203	23788
1357	50236	23749
1358	50271	23711
1359	50307	23674
1360	50342	23636
1361	50377	23598
1362	50412	23560
1363	50448	23523
1364	50483	23484
1365	50516	23446
1366	50554	23409
1367	50593	23373
1368	50627	23335
1369	50664	23298
1370	50699	23260
1371	50734	23222
1372	50784	23191
1373	50823	23155
1374	50859	23117
1375	50897	23081
1376	50930	23042
1377	50968	23006
1378	51004	22968
1379	51055	22937
1380	51090	22900
1381	51137	22867
1382	51171	22829
1383	51207	22791
1384	51243	22754
1385	51281	22717
1386	51316	22679
1387	51349	22641
1388	51385	22603
1389	51420	22565
1390	51456	22528
1391	51491	22490
1392	51526	22452
1393	51586	22425
1394	51620	22387
1395	51655	22349
1396	51692	22312
1397	51727	22274
1398	51765	22238
1399	51800	22200
1400	51834	22161
1401	51867	22123
1402	51902	22085
1403	51941	22049
1404	51975	22011
1405	52009	21972
1406	52048	21936
1407	52083	21898
1408	52117	21860
1409	52151	21822
1410	52188	21785
1411	52221	21746
1412	52255	21708
1413	52294	21672
1414	52328	21634
1415	52362	21595
1416	52395	21557
1417	52430	21519
1418	52466	21482
1419	52503	21445
1420	52539	21407
1421	52573	21369
1422	52608	21331
1423	52644	21294
1424	52682	21257
1425	52719	21220
1426	52755	21183
1427	52790	21145
1428	52825	21108
1429	52863	21071
1430	52900	21034
1431	52934	20996
1432	52968	20958
1433	53015	20925
1434	53051	20887
1435	53096	20854
1436	53132	20816
1437	53166	20778
1438	53200	20740
1439	53235	20702
1440	53271	20665
1441	53306	20627
1442	53340	20589
1443	53376	20552
1444	53413	20515
1445	53446	20476
1446	53482	20439
1447	53516	20401
1448	53551	20363
1449	53586	20326
1450	53623	20288
1451	53659	20251
1452	53695	20214
1453	53744	20181
1454	53779	20144
1455	53812	20105
1456	53859	20072
1457	53895	20035
1458	53931	19998
1459	53967	19960
1460	54003	19923
